question,candidate answer,is correct,sent_text,sent_tags,sent_tokens,nbr_text,nbr_tags,nbr_tokens,topic1,topic2
What is the normal load for second year students,Normal load for the first and second year students is 16-20 credits and for the third and fourth year students is 16-22 credits.,0,1.8864844365675972,1.9579544067201529,2.6939630547851654,0.8574929257125441,1.9579544067201529,2.6939630547851654,0.0,0.0,0.0
What is the normal load for second year students,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,0.0,0.0,4.32808512266689,0.7213475204444817,0.0,4.32808512266689,0.0,0.0,0.0
What is the normal load for second year students,"When a student registers for more credits than the stipulated normal load, it is called the overload.",0,0.7213475204444817,0.4207346278486228,1.6530623548132748,2.164042561333445,0.4207346278486228,1.6530623548132748,0.0,0.0,0.0
What is the normal load for second year students,First year students cannot take any overload.,0,0.0,2.8853900817779268,2.8853900817779268,2.164042561333445,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
What is the normal load for second year students,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,0.0,0.0,2.8853900817779268,0.0,0.0,2.8853900817779268,0.0,0.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript","Also, all attempts in that course will be recorded in the respective semesters’ transcripts and the repeat course will not be permitted for late drop after mid-semester examination.",0,-0.31300922034371903,3.6689777089995603,5.259639162314303,-0.5934292095756784,3.6689777089995603,5.259639162314303,2.205125003180996,-4.961531257157241,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.0,0.2790553132756236,3.1644453950535505,0.25433477814404226,0.2790553132756236,3.1644453950535505,2.0,3.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript","Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.7094543914574609,2.8853900817779268,2.8853900817779268,0.7094543914574609,2.8853900817779268,2.8853900817779268,0.0,3.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",A btech student is allowed to register for online courses (OC) as regular courses (and not in the category of Independent Project (IP) or Independent Study (IS) or Undergraduate Research (UR) or btech Project (BTP)).,0,0.0,2.8853900817779268,2.8853900817779268,0.25433477814404226,2.8853900817779268,2.8853900817779268,2.0,3.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,0.8756697127036541,4.607140435942513,4.607140435942513,0.8756697127036541,4.607140435942513,4.607140435942513,0.0,0.0,0.0
what is the process of registration?,"Registration process has two parts: academic and administrative, and both of two parts: academic and administrative must be completed in order to complete the registration process.",0,-1.224744871391589,2.9621264132600547,9.34205204000614,-1.6329931618554518,2.9621264132600547,9.34205204000614,-3.3166705952708933,0.0,0.0
what is the process of registration?,A student’s registration for the semester may be cancelled as part of disciplinary action.,0,0.0,1.4426950408889634,1.4426950408889634,0.36926937306885504,1.4426950408889634,1.4426950408889634,2.0,2.0,0.0
what is the process of registration?,The registration of such a student must be approved by the DOAA who will advise the student.,0,0.36926937306885504,0.36926937306885504,0.36926937306885504,0.36926937306885504,0.36926937306885504,0.36926937306885504,2.0,2.0,0.0
what is the process of registration?,Leave beyond permissible limits may also result in cancellation of registration for a semester.,0,0.36926937306885504,0.36926937306885504,0.36926937306885504,0.36926937306885504,0.36926937306885504,0.36926937306885504,2.0,2.0,0.0
what is the process of registration?,There will not be any late registration in the summer term and a student shall not be allowed to add a course after registration.,0,0.36926937306885504,0.9102392266268373,0.9102392266268373,0.36926937306885504,0.9102392266268373,0.9102392266268373,1.0,2.0,0.0
how many seats are there in cse for admission?,The admission of a student may be cancelled by the Senate even at a later date if the Senate is found that a student had supplied some false information or suppressed any relevant information while seeking admission.,0,0.8164965809277258,1.0401974219293064,0.05659686179167391,0.4082482904638631,1.0401974219293064,0.05659686179167391,2.8200792835871833,0.0,0.0
how many seats are there in cse for admission?,"These are usually supernumerary, and admission for such seats is handled separately.",0,0.43429448190325176,0.43429448190325176,1.876989522792215,0.43429448190325176,0.43429448190325176,1.876989522792215,0.0,2.0,0.0
how many seats are there in cse for admission?,The total number of seats will be as decided by the Board of Governors and will be announced every year in the admission prospectus.,0,0.0,2.352934267515801,1.9565933832587141,0.43429448190325176,2.352934267515801,1.9565933832587141,1.0,2.0,0.0
how many seats are there in cse for admission?,"The admission of a candidate to the undergraduate program may be cancelled if any material information provided is found to be incorrect, a candidate to the undergraduate program or a candidate to the undergraduate program does not pay the fee by the given date, or does not report on the announced day for registration.",0,0.43429448190325176,0.43429448190325176,0.43429448190325176,0.43429448190325176,0.43429448190325176,0.43429448190325176,2.0,2.0,0.0
how many seats are there in cse for admission?,"A candidate will be admitted if A candidate or A candidate presents all original documents for verification of the information provided in the admission form and he or she pays the required fee, and A candidate or A candidate completes the admission formalities.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,2.0,2.0,0.0
what is the admission criteria for btech,"Details about the admission criteria and entrance test(s) whose scores are to be used, are announced through the admission prospectus each year.",0,1.8257418583505534,-0.1718276444141244,2.3842109572766503,1.8257418583505538,-0.1718276444141244,2.3842109572766503,1.7076255921045833,-0.6017347324559007,0.0
what is the admission criteria for btech,"Admission to the undergraduate program at IIIT-Delhi is based on criteria which use scores from entrance test(s), class XII, and other competitions.",0,0.30341307554227914,0.737707557445531,0.43429448190325176,1.2136523021691166,0.737707557445531,0.43429448190325176,1.945945945945946,1.0,0.0
what is the admission criteria for btech,"For continuing in the undergraduate program, the student has to show satisfactory academic performance as may be defined by the Senate from time to time.",0,0.30341307554227914,0.30341307554227914,0.0,0.30341307554227914,0.30341307554227914,0.0,1.0,2.0,0.0
what is the admission criteria for btech,The admission of a student may be cancelled by the Senate even at a later date if the Senate is found that a student had supplied some false information or suppressed any relevant information while seeking admission.,0,0.0,1.4426950408889634,1.4426950408889634,0.30341307554227914,1.4426950408889634,1.4426950408889634,1.0,1.0,0.0
what is the admission criteria for btech,"A candidate will be admitted if A candidate or A candidate presents all original documents for verification of the information provided in the admission form and he or she pays the required fee, and A candidate or A candidate completes the admission formalities.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,1.0,0.0
I am in 1st year. Can I take overload?,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,0.8164965809277261,1.1460978476553287,0.8164965809277253,0.8164965809277261,1.1460978476553287,0.8164965809277253,-1.5888289834962253,0.0,0.0
I am in 1st year. Can I take overload?,First year students cannot take any overload.,0,0.5138983423697507,0.0,1.9565933832587141,0.5138983423697507,0.0,1.9565933832587141,0.0,0.0,0.0
I am in 1st year. Can I take overload?,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,0.5138983423697507,1.4426950408889634,1.9565933832587141,0.5138983423697507,1.4426950408889634,1.9565933832587141,0.0,0.0,0.0
I am in 1st year. Can I take overload?,"If a student passes 3 or less technical courses in the entire first year and was on leave in either of the two semesters, a student will have to repeat the first year, ie, a student or she has to do first semester in the next academic year and will not be allowed to continue with the third semester.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
I am in 1st year. Can I take overload?,A student repeating the first year may be allowed transfer of credits only for the non- technical courses that A student repeating the first year or A student repeating the first year had passed in A student repeating the first year or A student repeating the first year previous attempt.,0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
I am in 2nd year. Can I take overload?,"Out of to 6 credits of courses that are offered during the summer term (inclusive of SG or CW credits), for students who have completed the 2nd year of to 6 credits of courses that are offered during the summer term (inclusive of SG or CW credits) btech program, may be allowed to take up to 4 credits for IP or IS or UR or BTP.",0,1.8096106952424678,0.6173241473590994,1.809610695242467,1.8096106952424678,0.6173241473590994,1.809610695242467,-0.4278964922335318,0.0,0.0
I am in 2nd year. Can I take overload?,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,0.5138983423697507,1.4426950408889634,1.9565933832587141,0.5138983423697507,1.4426950408889634,1.9565933832587141,0.0,0.0,0.0
I am in 2nd year. Can I take overload?,First year students cannot take any overload.,0,0.5138983423697507,0.0,1.9565933832587141,0.5138983423697507,0.0,1.9565933832587141,0.0,0.0,0.0
I am in 2nd year. Can I take overload?,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,0.5138983423697507,1.4426950408889634,1.9565933832587141,0.5138983423697507,1.4426950408889634,1.9565933832587141,0.0,0.0,0.0
I am in 2nd year. Can I take overload?,"If a student passes 3 or less technical courses in the entire first year and was on leave in either of the two semesters, a student will have to repeat the first year, ie, a student or she has to do first semester in the next academic year and will not be allowed to continue with the third semester.",0,0.0,1.4426950408889634,1.4426950408889634,0.0,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
what happens if I miss the endsem because of a medical reason?,"For medical reasons, only two medical applications including mid-semester and end-semester would be accepted for make-up examinations during the entire duration of the btech degree completion.",0,1.0228174548707742,-0.30127875929499975,0.8077317924098895,0.9038362778849994,-0.30127875929499975,0.8077317924098895,0.48488945742048006,0.0,0.0
what happens if I miss the endsem because of a medical reason?,"If a student, for valid reasons such as illness, etc, fails to appear in the end-semester examination in one or more course(s), a student or she may make a request to the instructor and the academic office for a make-up examination within two days of the date of the scheduled examination.",0,0.6213349345596119,0.6213349345596119,1.4426950408889634,1.531574161186449,0.6213349345596119,1.4426950408889634,1.0,1.0,0.0
what happens if I miss the endsem because of a medical reason?,"For courses other than project  or  independent study, incomplete grade I is meant primarily for medical reasons.",0,0.9102392266268373,0.0,1.8204784532536746,0.9102392266268373,0.0,1.8204784532536746,0.0,1.0,0.0
what happens if I miss the endsem because of a medical reason?,"Further, for the grant of medical leave, students are required to upload the medical certificate within five working days from the date of the scheduled examination.",0,0.0,0.0,1.4426950408889634,0.9102392266268373,0.0,1.4426950408889634,1.0,1.0,0.0
what happens if I miss the endsem because of a medical reason?,The Institute reserves the right to get the medical certificate verified from the Institute Doctor.,0,0.0,0.0,0.9102392266268373,0.9102392266268373,0.0,0.9102392266268373,1.0,1.0,0.0
what happens if I fail a course?,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,-1.2247448713915892,-8.40835443780022,0.8546773567748077,0.0,-8.40835443780022,0.8546773567748077,3.2103221859234057,0.0,0.0
what happens if I fail a course?,A btech student is allowed to register for online courses (OC) as regular courses (and not in the category of Independent Project (IP) or Independent Study (IS) or Undergraduate Research (UR) or btech Project (BTP)).,0,0.0,1.4426950408889634,1.4426950408889634,0.25433477814404226,1.4426950408889634,1.4426950408889634,1.0,2.0,0.0
what happens if I fail a course?,Students can take advantage of the increasing amount of such courses made available by reputed universities across the world to complement the courses offered in the institute.,0,0.25433477814404226,0.9102392266268373,0.9102392266268373,0.25433477814404226,0.9102392266268373,0.9102392266268373,1.0,2.0,0.0
what happens if I fail a course?,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.25433477814404226,1.4426950408889634,1.4426950408889634,0.25433477814404226,1.4426950408889634,1.4426950408889634,0.0,2.0,0.0
what happens if I fail a course?,The course is likely to be run as a short course on a very specialized topic.,0,0.25433477814404226,1.4426950408889634,1.4426950408889634,0.25433477814404226,1.4426950408889634,1.4426950408889634,0.0,2.0,0.0
what happens if I get an F grade in a course?,"Based on students’ performance in the refresher module, only students with F or D grade may be allowed at most half the letter grade improvement (ie improvement from F to D or D to C- -), although any student can attend.",0,1.6463815946851261,0.1888963213067107,-0.3229203941685744,1.4659237888544376,0.1888963213067107,-0.3229203941685744,0.3547643132951454,-2.1285858797708728,0.0
what happens if I get an F grade in a course?,The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,0.8756697127036541,2.8853900817779268,2.8853900817779268,0.8756697127036541,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
what happens if I get an F grade in a course?,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.0,0.0,1.4426950408889634,0.25433477814404226,0.0,1.4426950408889634,1.0,2.0,0.0
what happens if I get an F grade in a course?,A btech student is allowed to register for online courses (OC) as regular courses (and not in the category of Independent Project (IP) or Independent Study (IS) or Undergraduate Research (UR) or btech Project (BTP)).,0,0.0,1.4426950408889634,1.4426950408889634,0.25433477814404226,1.4426950408889634,1.4426950408889634,1.0,2.0,0.0
what happens if I get an F grade in a course?,Students can take advantage of the increasing amount of such courses made available by reputed universities across the world to complement the courses offered in the institute.,0,0.25433477814404226,0.9102392266268373,0.9102392266268373,0.25433477814404226,0.9102392266268373,0.9102392266268373,1.0,2.0,0.0
Can i take 8 credits of online courses in a semester,A student can take upto 8 credits of Online Courses in A student btech degree.,0,-0.8528702444203256,2.331259225492716,4.546305813258308,-0.11621263772712206,2.331259225492716,4.546305813258308,0.0,1.7272724592584803,0.0
Can i take 8 credits of online courses in a semester,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,1.4426950408889634,4.32808512266689,2.8853900817779268,1.721750354164587,4.32808512266689,2.8853900817779268,2.0,3.0,0.0
Can i take 8 credits of online courses in a semester,The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.7599536602386114,1.721750354164587,2.202648701127575,1.4813011806830931,1.721750354164587,2.202648701127575,2.0,3.0,0.0
Can i take 8 credits of online courses in a semester,A btech student is allowed to register for online courses (OC) as regular courses (and not in the category of Independent Project (IP) or Independent Study (IS) or Undergraduate Research (UR) or btech Project (BTP)).,0,0.7213475204444817,1.4426950408889634,1.4426950408889634,1.4813011806830931,1.4426950408889634,1.4426950408889634,2.0,3.0,0.0
Can i take 8 credits of online courses in a semester,"For N extra credits done, the student will be allowed worst grades in N credits, with a maximum limit of at most 8 credits, to be not counted towards CGPA computation.",0,1.4426950408889634,2.8853900817779268,2.8853900817779268,1.4426950408889634,2.8853900817779268,2.8853900817779268,2.0,0.0,0.0
how many credits do i need to graduate,"Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.0,2.0197730572445485,0.787642775483122,0.0,2.0197730572445485,0.787642775483122,0.0,0.0,0.0
how many credits do i need to graduate,"While taking courses in the Institute is the primary means for a student to earn credits, there may be other approved provisions for earning credit through projects, studying in other Institutions and transferring credits, etc Such provisions will be provided in these or other regulations.",0,0.0,4.32808512266689,1.4426950408889634,0.0,4.32808512266689,1.4426950408889634,3.0,3.0,0.0
how many credits do i need to graduate,"Certain courses such as SelfGrowth (SG), Community Work (CW), may be taken for varying number of credits on case to case basis.",0,0.0,2.8853900817779268,0.3898712452512801,0.0,2.8853900817779268,0.3898712452512801,3.0,3.0,0.0
how many credits do i need to graduate,"In addition, one hour of interaction per week is expected, which may be in form of structured tutorials.",0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
how many credits do i need to graduate,There may also be labs in The course.,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
how is my semester graded,"A semester is of about four months in duration with 13 weeks of teaching, a mid- semester recess, a mid-semester examination, and an end-semester examination.",0,0.5000000000000001,-6.254887502163469,0.0,0.0,-6.254887502163469,0.0,5.375278407684165,0.0,0.0
how is my semester graded,"Generally the last 10 days in mid-semester are reserved for the end-semester examination, presentations, demos, etc The summer term is about half the duration of the regular semesters, and the courses taught run at a faster pace to complete in duration of the summer term.",0,0.0,1.4426950408889634,1.4426950408889634,0.2790553132756236,1.4426950408889634,1.4426950408889634,1.0,0.0,0.0
how is my semester graded,"The academic calendar, published every year or semester, specifies the dates for major academic activities like registration, examinations, mid-semester recess, etc, will be prepared and published by DOAA, and tabled in the Senate.",0,0.2790553132756236,0.2790553132756236,1.4426950408889634,0.2790553132756236,0.2790553132756236,1.4426950408889634,0.0,0.0,0.0
how is my semester graded,"The course will have 1.5 hours of lectures per week for the whole semester, or 3 hours of lectures per week for half the semester.",0,0.2790553132756236,1.4426950408889634,1.4426950408889634,0.2790553132756236,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
how is my semester graded,Pre- registration for a semester can be done toward the end of the previous semester.,0,0.2790553132756236,1.4426950408889634,1.4426950408889634,0.2790553132756236,1.4426950408889634,1.4426950408889634,0.0,0.0,0.0
what if I do more than 156 credits in my btech course,"Registration after completion of 156 credits, required for graduation, will be allowed in only one extra semester.",0,-0.1703847461569745,-1.3011350102287151,-0.27659639339407266,0.28103283770462206,-1.3011350102287151,-0.27659639339407266,-4.091446465847535,3.7194967871341222,0.0
